"Time","Li_A","Li_B","pH_a","pH_b","pH_irid","Na","K","NH4","Ca","Mg","Ba","Cl","ClO4","Br","I"                                                                                                     
                                                                                                                                                                                                    
/* Date table */                                                                                                                                                                                    
0898866793.599,-1.9516E+02,-2.4350E+02,-1.4038E+02, 2.0508E+03, 2.2939E+02,-3.3695E+02,-2.9506E+02,-2.8217E+02,-1.8872E+02,-2.5639E+02,-1.5972E+02, 4.7323E+01,-1.4708E+01, 2.3960E+01,-2.5558E+02  
0898866794.537,-1.9516E+02,-2.4914E+02,-1.3958E+02, 2.0508E+03, 2.2697E+02,-3.4259E+02,-2.9425E+02,-2.8458E+02,-1.9275E+02,-2.5719E+02,-1.5972E+02, 4.9740E+01,-1.3903E+01, 2.7183E+01,-2.5639E+02  
0898866796.660,-1.9597E+02,-2.5155E+02,-1.4683E+02, 2.0508E+03, 2.2697E+02,-3.4500E+02,-2.9425E+02,-2.8458E+02,-1.9436E+02,-2.5558E+02,-1.6052E+02, 4.6517E+01,-1.7125E+01, 2.4766E+01,-2.5639E+02  
0898866797.599,-1.9839E+02,-2.4994E+02,-1.4441E+02, 2.0508E+03, 2.2697E+02,-3.4098E+02,-2.9586E+02,-2.8861E+02,-1.9275E+02,-2.5961E+02,-1.6616E+02, 4.3295E+01,-1.7931E+01, 2.0738E+01,-2.6283E+02  
0898866799.733,-1.9839E+02,-2.5478E+02,-1.4844E+02, 2.0508E+03, 2.2697E+02,-3.4500E+02,-3.0070E+02,-2.8458E+02,-1.9758E+02,-2.6203E+02,-1.6616E+02, 4.3295E+01,-1.7125E+01, 2.3155E+01,-2.6283E+02  
0898866800.662,-1.9516E+02,-2.5639E+02,-1.4683E+02, 2.0508E+03, 2.2697E+02,-3.4662E+02,-3.0150E+02,-2.8861E+02,-1.9839E+02,-2.6283E+02,-1.6616E+02, 3.6850E+01,-1.8736E+01, 1.7516E+01,-2.6283E+02  
0898866802.798,-1.9839E+02,-2.5961E+02,-1.5327E+02, 2.0508E+03, 2.2536E+02,-3.4984E+02,-3.0795E+02,-2.9506E+02,-2.0483E+02,-2.6928E+02,-1.6616E+02, 3.6850E+01,-2.4376E+01, 1.9127E+01,-2.6364E+02  
0898866803.734,-1.9919E+02,-2.6042E+02,-1.5327E+02, 2.0508E+03, 2.2053E+02,-3.4903E+02,-3.0795E+02,-2.9506E+02,-2.0483E+02,-2.6283E+02,-1.6938E+02, 3.3628E+01,-2.4376E+01, 1.4293E+01,-2.6928E+02  
0898866805.860,-2.0483E+02,-2.6364E+02,-1.5569E+02, 2.0508E+03, 2.1892E+02,-3.5225E+02,-3.0875E+02,-2.9747E+02,-2.0564E+02,-2.7008E+02,-1.7341E+02, 2.7183E+01,-2.8404E+01, 1.0265E+01,-2.7169E+02  
0898866806.804,-2.0564E+02,-2.6928E+02,-1.6052E+02, 2.0508E+03, 2.1650E+02,-3.5951E+02,-3.1439E+02,-3.0231E+02,-2.1127E+02,-2.7572E+02,-1.7905E+02, 2.6377E+01,-3.7265E+01, 7.0428E+00,-2.7572E+02  
0898866808.934,-2.0483E+02,-2.6928E+02,-1.5972E+02, 2.0508E+03, 2.1811E+02,-3.5951E+02,-3.1439E+02,-3.0231E+02,-2.1127E+02,-2.7572E+02,-1.7502E+02, 2.4766E+01,-3.1626E+01, 7.0428E+00,-2.7653E+02  
0898866809.860,-2.1127E+02,-2.7895E+02,-1.6536E+02, 2.0508E+03, 2.1408E+02,-3.6434E+02,-3.2406E+02,-3.1117E+02,-2.1691E+02,-2.8539E+02,-1.8550E+02, 1.9932E+01,-4.2099E+01,-1.8188E+00,-2.8217E+02  
0898866811.995,-2.0564E+02,-2.7169E+02,-1.6616E+02, 2.0508E+03, 2.1005E+02,-3.6192E+02,-3.2084E+02,-3.0875E+02,-2.1772E+02,-2.8297E+02,-1.7986E+02, 1.9932E+01,-3.9682E+01, 5.9800E-01,-2.7814E+02  
0898866812.935,-2.1047E+02,-2.8136E+02,-1.7180E+02, 2.0508E+03, 2.0200E+02,-3.7159E+02,-3.2648E+02,-3.1681E+02,-2.2336E+02,-2.9103E+02,-1.9113E+02, 8.6540E+00,-4.6127E+01,-7.4580E+00,-2.8781E+02  
0898866815.082,-2.0725E+02,-2.8297E+02,-1.7180E+02, 2.0508E+03, 2.0361E+02,-3.7239E+02,-3.2325E+02,-3.1520E+02,-2.2497E+02,-2.9103E+02,-1.8630E+02, 8.6540E+00,-4.6127E+01,-7.4580E+00,-2.8942E+02  
0898866816.010,-2.1047E+02,-2.8458E+02,-1.7180E+02, 2.0508E+03, 2.0200E+02,-3.7320E+02,-3.2648E+02,-3.1681E+02,-2.2336E+02,-2.9103E+02,-1.8791E+02, 8.6540E+00,-4.9349E+01,-1.0680E+01,-2.8781E+02  
0898866818.180,-2.0725E+02,-2.7814E+02,-1.6697E+02, 2.0508E+03, 1.9878E+02,-3.6192E+02,-3.2164E+02,-3.1036E+02,-2.2014E+02,-2.8781E+02,-1.8469E+02, 2.2092E+00,-4.2904E+01,-1.3903E+01,-2.9747E+02  
0898866819.110,-2.1047E+02,-2.8136E+02,-1.7180E+02, 2.0508E+03, 2.0200E+02,-3.6514E+02,-3.2648E+02,-3.1359E+02,-2.2014E+02,-2.8781E+02,-1.8791E+02, 2.2092E+00,-4.2904E+01,-1.3903E+01,-2.9425E+02  
0898866821.270,-2.1772E+02,-2.9183E+02,-1.8227E+02, 2.0508E+03, 1.9233E+02,-3.7884E+02,-3.3373E+02,-3.2164E+02,-2.3141E+02,-2.9506E+02,-1.9275E+02,-4.2356E+00,-5.0960E+01,-1.7125E+01,-3.0070E+02  
0898866822.222,-2.1853E+02,-2.9506E+02,-1.8550E+02, 2.0508E+03, 1.9233E+02,-3.8528E+02,-3.4017E+02,-3.2648E+02,-2.3464E+02,-2.9747E+02,-1.9758E+02,-1.0132E+00,-5.4183E+01,-1.7125E+01,-3.0070E+02  
0898866824.335,-2.1933E+02,-2.9747E+02,-1.8469E+02, 2.0508E+03, 1.9153E+02,-3.8126E+02,-3.3937E+02,-3.2648E+02,-2.3625E+02,-3.0070E+02,-2.0322E+02,-5.0412E+00,-5.9016E+01,-2.0348E+01,-3.0795E+02  
0898866825.262,-2.1772E+02,-3.0150E+02,-1.8872E+02, 2.0508E+03, 1.9233E+02,-3.8448E+02,-3.4339E+02,-3.2486E+02,-2.3705E+02,-3.0150E+02,-1.9919E+02,-1.2292E+01,-5.6600E+01,-1.2292E+01,-3.0070E+02  
0898866827.405,-2.2336E+02,-3.0795E+02,-1.9516E+02, 2.0508E+03, 1.8266E+02,-3.9173E+02,-3.4662E+02,-3.3453E+02,-2.4430E+02,-3.0875E+02,-2.0080E+02,-2.0348E+01,-6.3850E+01,-2.0348E+01,-3.0714E+02  
0898866828.383,-2.2014E+02,-3.0392E+02,-1.9194E+02, 2.0508E+03, 1.9153E+02,-3.8609E+02,-3.4742E+02,-3.3292E+02,-2.4269E+02,-3.0070E+02,-2.0402E+02,-5.0412E+00,-5.9016E+01,-1.3903E+01,-3.0150E+02  
0898866830.469,-2.2336E+02,-3.0231E+02,-1.9194E+02, 2.0508E+03, 1.7541E+02,-3.8609E+02,-3.4662E+02,-3.3292E+02,-2.4592E+02,-3.0714E+02,-2.0402E+02,-2.7598E+01,-6.5461E+01,-2.3570E+01,-3.1923E+02  
0898866831.409,-2.2739E+02,-3.0875E+02,-1.9597E+02, 2.0508E+03, 1.8105E+02,-3.9092E+02,-3.4903E+02,-3.3937E+02,-2.4914E+02,-3.1359E+02,-2.0966E+02,-1.7125E+01,-6.8684E+01,-2.7598E+01,-3.0875E+02  
0898866833.609,-2.1611E+02,-3.0070E+02,-1.9194E+02, 2.0508E+03, 1.8589E+02,-3.8528E+02,-3.4259E+02,-3.3292E+02,-2.4269E+02,-3.0714E+02,-2.0080E+02,-1.8736E+01,-6.2239E+01,-2.2764E+01,-3.0875E+02  
0898866834.576,-2.1853E+02,-3.0714E+02,-1.9113E+02, 2.0508E+03, 1.8427E+02,-3.9092E+02,-3.5145E+02,-3.3453E+02,-2.4350E+02,-3.0472E+02,-2.0564E+02,-1.7125E+01,-6.3044E+01,-1.7125E+01,-3.0714E+02  
0898866836.700,-2.1853E+02,-3.0070E+02,-1.8469E+02, 2.0508E+03, 1.8266E+02,-3.8126E+02,-3.4581E+02,-3.2728E+02,-2.4189E+02,-3.0472E+02,-1.9919E+02,-2.3570E+01,-5.9822E+01,-1.8736E+01,-3.1600E+02  
0898866837.658,-2.2658E+02,-3.1117E+02,-1.9758E+02, 2.0508E+03, 1.7219E+02,-3.9173E+02,-3.4984E+02,-3.3937E+02,-2.4672E+02,-3.1439E+02,-2.0725E+02,-3.0820E+01,-6.5461E+01,-3.0015E+01,-3.1923E+02  
0898866839.801,-2.1853E+02,-3.0392E+02,-1.9436E+02, 2.0508E+03, 1.8266E+02,-3.8770E+02,-3.4903E+02,-3.3373E+02,-2.4269E+02,-3.0714E+02,-2.0483E+02,-2.3570E+01,-6.2239E+01,-2.0348E+01,-3.1681E+02  
0898866840.732,-2.2336E+02,-3.1036E+02,-1.9436E+02, 2.0508E+03, 1.7300E+02,-3.9092E+02,-3.5225E+02,-3.4017E+02,-2.5478E+02,-3.1761E+02,-2.1127E+02,-3.5654E+01,-7.2712E+01,-3.7265E+01,-3.2970E+02  
0898866842.873,-2.2497E+02,-3.1359E+02,-2.0483E+02, 2.0508E+03, 1.7058E+02,-3.9898E+02,-3.5548E+02,-3.4339E+02,-2.5558E+02,-3.2003E+02,-2.1127E+02,-3.5654E+01,-7.4323E+01,-3.7265E+01,-3.2889E+02  
0898866843.856,-2.2416E+02,-3.1520E+02,-1.9919E+02, 2.0508E+03, 1.6977E+02,-3.9817E+02,-3.5870E+02,-3.4581E+02,-2.5558E+02,-3.2003E+02,-2.1611E+02,-3.5654E+01,-7.2712E+01,-3.4043E+01,-3.2648E+02  
0898866845.936,-2.3625E+02,-3.2486E+02,-2.1047E+02, 2.0508E+03, 1.5930E+02,-4.0704E+02,-3.6756E+02,-3.4903E+02,-2.6606E+02,-3.2728E+02,-2.1853E+02,-4.4516E+01,-7.9962E+01,-4.2904E+01,-3.4017E+02  
0898866846.863,-2.4350E+02,-3.2809E+02,-2.1611E+02, 2.0508E+03, 1.5044E+02,-4.1106E+02,-3.7239E+02,-3.5789E+02,-2.7169E+02,-3.3937E+02,-2.2739E+02,-5.3377E+01,-8.8018E+01,-5.0155E+01,-3.4581E+02  
